Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Minutes_90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,2024-01-03 00:00:00,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Live,Dead,TB,Sw,TI,CK,In,Out,Str,Blocks,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,GA,PKA,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,0,0.15,0,0,0.15,0,0,,23.9,0,0,0,0,0,0.02,0,0,13.7,32.8,42.4,77.5,540.3,203.6,16.1,18.1,88.7,13.7,17.2,80,2.48,4.6,54,0.07,0.06,0.07,0.01,0.51,1.82,0.95,0.15,3.14,0.07,0,0,0.88,1.9,0.15,0.95,0.58,1.39,0,0.07,0,5.47,0.36,0.8,31.3,33.1,9.27,0.15,0.22,8.47,0,0,0,0,1.68,1.68,1.68,1.17,0.29,0,0,0.15,0.15,0.15,0,0,0,0,0,2.12,1.46,0.51,0.15,1.46,58.8,0.29,2.7,1.97,0,51.9,3.14,0.8,1.02,41.2,0.88,35.3,26.6,1.61,0.51,0.95,0.58,27.1,1.9,,,,,,,,,,,,,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,10,20,50,180,70,0,0,,10,10,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,10,0,0,10,0,0,0,0,0,10,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,60,50,0,0,,0,,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1.3,45.4,54.6,83.1,748.5,201.5,26.9,30,89.7,13.8,18.5,75,4.62,6.15,75,0,0.08,0,-0.08,0.77,6.92,0,0,3.85,0,0,0,0,2.31,0,0.77,3.08,2.31,0,0,0,5.38,1.54,2.31,40,51.5,3.08,0,0.77,0.77,0,0,0,0,0,2.31,2.25,1.54,0.77,0,0,0,0,0,0,0,0,0,0,3.08,0.77,2.31,0,1.54,66.7,1.54,6.15,1.54,0,70,2.31,3.08,1.54,66.7,0,0,33.8,3.08,1.54,2.31,0,40,0.77,,,,,,,,,,,,,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,0.11,0.78,0.28,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.04,0.04,0.05,0.07,0.07,18.0,57.1,67.6,84.5,1167.2,442,15.4,17.1,90.2,34.8,38.8,89.7,6.39,9.83,65,0,0.01,0.02,-0.01,0.11,2.61,0.11,0,3.44,0.11,0,0,0.56,0.28,0,0.06,1.39,0.61,0,0,0,2.39,3.11,1.56,66.7,65.6,1.83,0.06,0.5,0.11,0,0,0,0,0.44,0.56,0.56,0.33,0,0,0,0,0,0,0,0,0,0,0,1.17,0.89,0.28,0,0.67,57.1,0.28,2.56,4.44,0,77.2,10.1,1.61,0.06,33.3,0,0,45.4,0.56,0.06,0.22,0.22,56.1,0.28,,,,,,,,,,,,,,,,,,
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,0.63,1.96,0.89,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,0.37,0.37,0.19,0.26,0.26,15.8,9.11,12.9,70.6,116.9,24.4,5.95,7.72,77,2.59,3.8,68.3,0.19,0.38,50,0,0.04,0.03,-0.04,0.89,0.57,0.25,0,1.46,0.06,0,0,1.71,1.01,0.82,0.32,0.38,0.06,0,0,0,2.15,2.72,2.72,50,12.8,0.06,0.06,0,0.06,0,0,0,0,0.32,1.96,1.97,1.2,0,0.32,0,0.32,0.32,0.13,0,0,0.19,0,0,0.25,0.06,0,0.19,0.06,8.3,0.7,0.63,1.58,0,29.2,1.71,5.19,1.14,26.9,2.91,68.7,16.8,1.01,0.82,3.92,2.15,21.3,6.96,,,,,,,,,,,,,,,,,,
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,0.24,2.11,0.89,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,0.17,0.17,0.08,0.07,0.07,24.7,25.7,34,75.5,357.4,69.4,16.7,19.9,83.9,7.49,9.92,75.5,0.81,1.54,52.6,0.04,0.15,0.14,-0.11,1.34,0.69,1.34,0.45,2.02,0.12,0,0,1.17,0.77,0.69,3.08,0.77,0.81,0.04,0,0,4.78,0.32,0.49,40,33,0.93,0.28,0.08,0.61,0.2,0,0.04,0,1.17,3.12,3.12,2.06,0.04,0.53,0.08,0.16,0.16,0.12,0,0,0,0,0.04,1.82,0.93,0.45,0.45,0.77,45.2,1.21,2.59,0.89,0,46.9,1.46,6.19,2.02,40.7,2.59,52,31.3,4.49,2.55,1.94,1.13,32.2,11.3,,,,,,,,,,,,,,,,,,
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,0.05,0.68,0.15,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,0.07,0.07,0.11,-0.02,-0.02,20.6,45.8,57.1,80.1,964.6,427.4,16.3,17.5,93.1,21.9,23.9,91.7,6.94,14.4,48.1,0,0.01,0.02,-0.01,0.19,3.59,0.1,0,3.3,0.15,0.05,0.05,0.49,0.29,0,0.24,0.83,0.68,0,0.05,0,4.95,2.33,1.55,60,53.4,3.64,0.05,1.41,0.29,0,0,0,0,0.24,0.68,0.68,0.58,0.05,0,0,0,0,0,0,0,0,0,0,1.26,0.92,0.34,0,0.78,72.7,0.44,2.09,4.13,0.1,66.7,9.08,1.02,0.15,60,0.1,40,41.8,0.49,0,0.49,0.1,44.3,0.15,,,,,,,,,,,,,,,,,,
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,40,80,50,480,230,30,60,50,10,20,50,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,80,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,110,10,0,0,,0,,40,0,0,0,0,60,10,,,,,,,,,,,,,,,,,,
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,0,2.31,0.51,22.2,2.32,0.52,0,0,20.4,0,0,0,0.13,0.13,0.05,-0.13,-0.13,3.9,38.5,47.9,80.2,629.5,161,19.5,22.8,85.4,15.1,17.7,85.5,2.56,3.59,71.4,0,0,0.03,0,0.26,3.08,0,0,6.41,1.03,0.26,0.26,2.31,1.54,0.26,1.54,0.51,2.31,0,0,0,7.69,0.77,0.77,50,46.9,1.03,0,0,0.51,0,0,0,0,2.05,2.31,2.3,2.31,0,0,0,0.77,0.77,0.77,0,0,0,0,0,3.33,1.28,1.54,0.51,2.05,47.1,0.77,3.85,1.03,0,61.5,1.54,2.05,1.79,53.8,1.28,38.5,38.5,4.87,1.03,2.05,2.82,43.3,5.13,,,,,,,,,,,,,,,,,,
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,0.07,0.65,0.17,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,0.11,0.11,0.17,-0.04,-0.04,29.4,25.3,33.6,75.4,431.3,171.3,11.4,13.1,87,11.7,14.4,81.8,1.8,4.66,38.7,0,0.03,0.02,-0.03,0.24,1.39,0.1,0.03,1.46,0.37,0.03,0.03,1.16,0.44,0.07,0.2,1.19,1.22,0,0,0,3.64,1.73,1.26,58,32.3,1.22,0.03,0.07,0.85,0,0,0,0,0.68,0.88,0.88,0.78,0,0,0,0.03,0.03,0,0,0,0.03,0,0,2.18,1.63,0.48,0.07,1.02,61.2,0.58,3.37,4.66,0.07,45.3,7.76,1.12,0.37,52.4,0.31,42.9,20.5,0.51,0.1,0.48,0.37,23.6,0.71,,,,,,,,,,,,,,,,,,
